time	I(C1)	I(D1)	I(L1)	I(Rl)	Ix(U2:C)
1.652014398518999e-005	-7.048162e-002	1.416001e-003	4.378413e-001	7.189750e-002	4.364282e-001
1.652273177011471e-005	-7.030281e-002	1.595117e-003	4.378473e-001	7.189781e-002	4.362522e-001
1.652617394603921e-005	-7.003269e-002	1.865715e-003	4.378500e-001	7.189830e-002	4.359844e-001
1.653091992459728e-005	-6.958650e-002	2.312731e-003	4.378416e-001	7.189913e-002	4.355290e-001
1.653834572000728e-005	-6.863701e-002	3.264062e-003	4.377887e-001	7.190098e-002	4.345255e-001
1.655168236697462e-005	-6.594578e-002	5.960741e-003	4.375927e-001	7.190647e-002	4.316338e-001
1.655955266210811e-005	-6.313355e-002	8.778874e-003	4.374049e-001	7.191238e-002	4.286267e-001
1.656393005871216e-005	-6.035195e-002	1.156641e-002	4.372601e-001	7.191833e-002	4.256937e-001
1.656665295938966e-005	-5.743779e-002	1.448684e-002	4.371524e-001	7.192462e-002	4.226672e-001
1.656835963905444e-005	-5.453256e-002	1.739837e-002	4.370779e-001	7.193092e-002	4.196824e-001
1.656946591644271e-005	-5.169562e-002	2.024147e-002	4.370264e-001	7.193709e-002	4.167865e-001
1.657018516259060e-005	-4.897545e-002	2.296756e-002	4.369917e-001	7.194301e-002	4.140244e-001
1.657064876312009e-005	-4.393451e-002	2.801950e-002	4.369687e-001	7.195392e-002	4.089573e-001
1.657094932617891e-005	-2.961195e-002	4.237333e-002	4.369536e-001	7.198510e-002	3.945960e-001
1.657114389372934e-005	-5.153554e-003	6.688512e-002	4.369437e-001	7.203852e-002	3.700719e-001
1.657134420358138e-005	3.281531e-002	1.049369e-001	4.369335e-001	7.212147e-002	3.320056e-001
1.657155735034551e-005	7.513567e-002	1.473497e-001	4.369225e-001	7.221382e-002	2.895883e-001
1.657197941786533e-005	1.476499e-001	2.200222e-001	4.369006e-001	7.237199e-002	2.169137e-001
